player,role,skill_level,star_rating,total_matches,teams,batting_avg,strike_rate,total_runs,bowling_avg,economy,total_wickets
NLTC Perera,All-rounder,Average,4.0,158,Sri Lanka,17.45,93.92,2233,33.14,5.8,164.0
MG Bracewell,All-rounder,Star,7.0,23,New Zealand,29.32,85.85,557,43.56,5.19,18.0
TWM Latham,Wicketkeeper-Batsman,Good,5.5,144,New Zealand,29.99,69.57,4019,,,
Mohammad Hafeez,All-rounder,Star,8.0,207,Pakistan,31.44,63.37,6351,41.09,4.08,119.0
MV Boucher,Wicketkeeper-Batsman,Average,4.0,128,"South Africa, Africa XI",24.69,87.13,2617,,,
JH Kallis,All-rounder,Elite,8.5,138,"South Africa, Africa XI, ICC World XI",37.34,62.48,4929,34.91,4.99,92.0
RJ Nicol,All-rounder,Good,5.5,22,New Zealand,27.9,55.82,586,35.67,5.73,9.0
TP Ura,Batsman,Average,4.0,51,Papua New Guinea,23.45,68.63,1196,,12.0,0.0
SB Styris,All-rounder,Star,7.0,109,New Zealand,32.82,72.87,3184,36.21,4.54,67.0
GJ Maxwell,All-rounder,Star,7.5,141,Australia,28.33,105.57,3655,47.77,5.29,69.0
MN Samuels,All-rounder,Star,7.0,149,West Indies,29.61,65.83,4205,54.33,4.68,52.0
BRM Taylor,Wicketkeeper-Batsman,Good,5.5,161,Zimbabwe,32.06,60.05,5130,89.67,6.26,3.0
Imam-ul-Haq,Batsman,Star,7.0,65,Pakistan,43.69,68.27,2840,,,
S Dhawan,Batsman,Star,7.0,163,India,41.31,79.93,6733,,,
SO Hetmyer,Batsman,Good,6.0,46,West Indies,31.33,98.8,1410,,,
CJ Anderson,All-rounder,Good,5.5,47,New Zealand,25.63,91.85,1102,24.47,5.79,57.0
G Gambhir,Batsman,Star,7.0,137,India,37.17,71.56,4981,,11.0,0.0
Zeeshan Maqsood,All-rounder,Good,6.5,46,Oman,26.58,59.77,1196,29.08,4.19,51.0
JM Bairstow,Wicketkeeper-Batsman,Star,7.0,102,England,38.64,87.57,3671,,,
HT Tector,Batsman,Star,7.0,40,Ireland,41.59,76.27,1622,71.5,5.96,2.0
DJ Malan,Batsman,Elite,8.5,29,England,48.9,71.46,1418,,12.0,0.0
IR Bell,All-rounder,Good,5.5,157,England,34.8,72.2,5289,14.0,6.0,6.0
BKG Mendis,Wicketkeeper-Batsman,Good,5.5,127,Sri Lanka,31.2,74.01,3838,,9.33,0.0
Shakib Al Hasan,All-rounder,Star,7.0,210,Bangladesh,33.19,73.46,6638,33.31,4.52,239.0
TM Odoyo,All-rounder,Good,6.5,37,"Kenya, Africa XI",23.71,56.99,830,24.58,4.03,43.0
NJ Astle,Batsman,Star,7.0,43,New Zealand,36.53,56.37,1571,84.0,5.09,4.0
H Thaker,All-rounder,Star,8.0,19,Canada,32.21,51.45,612,29.85,4.12,20.0
Imrul Kayes,Batsman,Good,5.5,74,Bangladesh,31.14,61.78,2242,,,
SW Ambris,Batsman,Good,5.5,16,West Indies,31.53,86.5,473,,,
T Bavuma,Batsman,Star,8.0,40,South Africa,38.7,80.97,1548,,3.67,0.0
S Dhaniram,All-rounder,Good,6.5,11,Canada,25.55,79.0,281,19.95,4.43,20.0
SM Pollock,All-rounder,Average,5.0,97,"Africa XI, South Africa, ICC World XI",20.27,91.43,1358,25.37,3.31,108.0
RR Rossouw,Batsman,Star,7.0,38,South Africa,35.4,74.62,1239,43.0,6.14,1.0
KS Williamson,All-rounder,Star,7.0,161,New Zealand,43.22,71.9,6699,36.51,5.26,35.0
LS Livingstone,All-rounder,Good,5.5,34,England,28.76,87.96,834,37.89,6.26,19.0
DA Miller,Batsman,Good,5.5,159,South Africa,30.18,93.44,4466,,,
JP Faulkner,All-rounder,Average,4.0,67,Australia,20.1,89.76,1025,30.45,5.47,94.0
R Ravindra,All-rounder,Good,5.5,26,New Zealand,39.7,93.24,913,46.88,5.99,17.0
RN ten Doeschate,All-rounder,Star,7.0,14,Netherlands,45.69,72.0,594,33.17,5.28,18.0
DJ Mitchell,All-rounder,Star,7.0,38,New Zealand,44.89,89.3,1616,21.0,5.46,13.0
AJ Bichel,All-rounder,Average,5.0,27,Australia,18.43,80.26,258,27.52,4.04,31.0
KR Mayers,All-rounder,Good,5.5,28,West Indies,25.38,62.41,660,43.21,5.35,14.0
Gulsan Jha,All-rounder,Good,5.5,30,Nepal,24.04,68.05,625,28.9,5.78,30.0
Abdul Razzaq,All-rounder,Good,5.5,115,"Pakistan, Asia XI",23.27,87.21,2327,35.91,4.73,96.0
AL Phehlukwayo,All-rounder,Average,4.0,81,South Africa,15.9,82.12,827,31.54,5.51,89.0
RR Pant,Batsman,Good,5.5,29,India,32.26,93.75,871,,,
WTS Porterfield,Batsman,Good,5.5,90,"Ireland, England",30.0,53.59,2670,,,
SP Fleming,Batsman,Good,5.5,66,New Zealand,32.32,65.22,2133,,,
GC Smith,All-rounder,Star,7.0,153,"South Africa, Africa XI",34.74,68.65,5280,45.67,5.11,15.0
MD Patel,Batsman,Good,5.5,54,United States of America,33.19,63.25,1792,,,
DJ Bravo,All-rounder,Average,4.0,144,West Indies,21.73,71.58,2760,28.1,5.14,177.0
MDKJ Perera,Wicketkeeper-Batsman,Good,5.5,107,Sri Lanka,28.76,77.86,3077,,,
J Charles,Batsman,Good,5.5,59,West Indies,26.62,67.49,1544,,10.0,0.0
Khawar Ali,All-rounder,Good,5.5,32,Oman,22.14,53.74,620,31.27,4.59,37.0
Mushfiqur Rahim,Wicketkeeper-Batsman,Good,5.5,235,Bangladesh,31.53,70.68,7094,,,
Mohammad Rizwan,Wicketkeeper-Batsman,Good,5.5,78,Pakistan,32.2,84.45,2254,,,
S Prasanna,All-rounder,Average,4.0,39,Sri Lanka,12.03,69.87,421,58.03,5.34,29.0
C Campher,All-rounder,Good,5.5,34,Ireland,31.3,84.53,845,33.21,5.5,28.0
A Flintoff,All-rounder,Star,8.0,80,"England, ICC World XI",29.11,80.92,2096,20.87,3.98,116.0
Waseem Muhammad,Batsman,Average,4.0,56,United Arab Emirates,24.96,69.18,1398,,7.27,0.0
Mehedi Hasan Miraz,All-rounder,Average,4.0,88,Bangladesh,18.86,75.39,1188,36.97,4.91,93.0
Salman Butt,Batsman,Good,5.5,63,Pakistan,34.7,54.44,2186,,7.91,0.0
A Vala,All-rounder,Star,8.0,56,Papua New Guinea,31.84,59.83,1783,29.79,3.87,43.0
CR Brathwaite,All-rounder,Average,4.0,38,West Indies,15.5,80.16,527,40.54,5.65,39.0
BB McCullum,Wicketkeeper-Batsman,Good,5.5,204,New Zealand,27.73,93.87,5157,,,
CR Ervine,Batsman,Good,5.5,92,Zimbabwe,30.11,63.2,2770,,,
JE Root,All-rounder,Good,5.5,161,England,40.73,74.93,6394,60.76,5.67,25.0
A Balbirnie,Batsman,Good,5.5,78,Ireland,31.26,64.18,2438,31.0,7.75,1.0
IJL Trott,Batsman,Star,7.0,66,England,43.37,67.73,2819,82.0,5.47,2.0
Simi Singh,All-rounder,Good,6.5,22,Ireland,22.56,66.34,406,22.11,3.8,27.0
M Labuschagne,All-rounder,Good,5.5,58,Australia,33.92,76.39,1764,46.83,6.85,6.0
DPMD Jayawardene,Batsman,Good,5.5,269,"Sri Lanka, Asia XI",30.57,67.08,8040,,5.7,0.0
MD Gunathilaka,All-rounder,Star,7.0,47,Sri Lanka,35.38,77.89,1592,52.57,5.49,7.0
HDRL Thirimanne,Batsman,Good,5.5,107,Sri Lanka,31.02,65.18,3164,30.33,5.35,3.0
JJ Smit,All-rounder,Good,6.5,38,Namibia,24.68,70.86,839,21.34,4.04,35.0
KU Carty,Batsman,Star,7.0,32,West Indies,35.71,64.48,1000,,6.25,0.0
M van Lingen,Batsman,Star,7.0,37,Namibia,35.14,73.59,1300,62.0,5.17,1.0
SS Iyer,Batsman,Star,7.0,59,India,42.79,93.18,2396,,6.0,0.0
MA Leask,All-rounder,Good,6.0,68,Scotland,22.91,100.56,1306,29.77,4.77,57.0
Mahmudullah,All-rounder,Good,5.5,209,Bangladesh,27.27,71.93,5127,49.77,5.18,69.0
HE van der Dussen,Batsman,Star,8.0,62,South Africa,39.15,73.3,2388,3.0,3.0,1.0
HH Pandya,All-rounder,Star,7.5,83,India,29.37,104.27,1762,33.99,5.28,80.0
JD Ryder,All-rounder,Good,5.5,40,New Zealand,34.5,84.75,1242,33.4,5.86,10.0
AN Cook,Batsman,Star,7.0,92,England,35.21,67.02,3204,,,
JP Duminy,All-rounder,Star,7.0,189,South Africa,28.49,80.12,4928,46.39,5.27,64.0
Shoaib Malik,All-rounder,Star,7.0,220,Pakistan,29.03,76.28,5981,40.31,4.51,104.0
JM How,Batsman,Good,5.5,35,New Zealand,28.45,55.28,939,,,
IS Sodhi,All-rounder,Average,4.0,51,New Zealand,8.75,60.86,210,38.52,5.45,60.0
PD Collingwood,All-rounder,Star,7.0,153,England,28.9,69.91,4132,39.14,4.71,84.0
Haris Sohail,All-rounder,Good,5.5,42,Pakistan,40.69,79.45,1709,52.36,5.7,11.0
PJ Hughes,Batsman,Good,5.5,25,Australia,34.42,60.35,826,,,
Kushal Malla,All-rounder,Good,6.5,36,Nepal,22.91,71.6,756,35.14,4.19,21.0
Agha Salman,All-rounder,Good,6.0,26,Pakistan,31.85,95.48,637,42.79,5.5,14.0
GD Elliott,All-rounder,Star,7.0,72,New Zealand,28.98,75.61,1913,30.34,5.34,35.0
WW Hinds,All-rounder,Star,7.0,39,West Indies,28.05,49.54,1066,25.42,4.78,19.0
SE Marsh,Batsman,Star,7.0,72,Australia,36.93,67.44,2622,,,
KJ O'Brien,All-rounder,Good,5.5,88,Ireland,23.69,91.55,1990,40.4,5.46,52.0
RS Bopara,All-rounder,Good,5.5,115,England,24.9,74.75,2689,39.86,4.77,36.0
KA Pollard,All-rounder,Good,5.5,114,West Indies,24.37,73.39,2608,37.21,5.49,53.0
W Barresi,Wicketkeeper-Batsman,Average,4.0,34,Netherlands,24.12,60.96,820,,13.0,0.0
P Nissanka,Batsman,Good,5.5,53,Sri Lanka,34.15,68.12,1810,,,
Ayan Khan,All-rounder,Good,5.5,37,Oman,27.09,62.36,948,38.57,4.62,23.0
KP Pietersen,All-rounder,Star,7.0,121,"England, ICC World XI",35.61,73.12,4202,70.0,5.47,5.0
M Jansen,All-rounder,Average,4.5,26,South Africa,20.95,98.6,461,29.63,5.7,41.0
AU Rashid,All-rounder,Average,4.0,136,England,12.93,89.52,879,36.31,5.53,177.0
AT Rayudu,Batsman,Good,5.5,51,India,33.41,66.68,1637,60.5,6.05,2.0
MD Shanaka,All-rounder,Average,4.0,62,Sri Lanka,20.59,73.8,1153,38.67,5.34,21.0
SF Mire,All-rounder,Average,4.0,35,Zimbabwe,20.83,67.01,729,35.09,6.03,11.0
PD Salt,Batsman,Good,6.0,26,England,34.64,109.99,866,,,
JDP Oram,All-rounder,Good,6.5,104,New Zealand,22.09,84.42,1546,28.12,4.22,119.0
MJ Clarke,All-rounder,Elite,8.5,208,Australia,35.29,69.51,6988,36.04,4.79,49.0
R Rampaul,All-rounder,Average,4.0,77,West Indies,9.66,66.27,338,28.02,4.87,103.0
Aaron Jones,Batsman,Good,5.5,47,United States of America,33.11,60.98,1556,,5.52,0.0
SE Rutherford,Batsman,Elite,9.0,11,West Indies,49.7,122.38,497,48.0,8.0,3.0
P Utseya,All-rounder,Average,4.0,117,Zimbabwe,11.48,57.87,1114,59.18,4.58,79.0
Kamran Akmal,Wicketkeeper-Batsman,Average,4.0,131,Pakistan,23.27,73.07,2746,,,
Rizwan Cheema,All-rounder,Average,4.0,13,Canada,15.08,76.87,196,35.58,5.27,12.0
KM Jadhav,All-rounder,Good,6.0,66,India,26.9,98.85,1318,41.7,5.02,23.0
Jatinder Singh,Batsman,Good,5.5,50,Oman,27.12,62.48,1356,34.0,4.86,1.0
CD McMillan,All-rounder,Good,5.5,48,New Zealand,24.54,70.04,1129,38.45,5.64,11.0
MEK Hussey,Batsman,Good,5.5,156,Australia,34.3,86.39,5076,112.5,5.62,2.0
Ahmed Shehzad,Batsman,Good,5.5,82,Pakistan,31.94,59.23,2555,68.0,7.56,2.0
M Kartik,All-rounder,Average,4.0,23,India,12.75,64.56,102,42.57,4.92,23.0
WA Young,Batsman,Star,7.0,36,New Zealand,39.61,71.54,1426,,,
DS Lehmann,All-rounder,Star,7.0,27,Australia,34.35,76.4,687,23.8,4.96,20.0
AD Russell,All-rounder,Good,6.0,55,West Indies,22.0,111.54,1034,29.33,5.43,70.0
RD Berrington,All-rounder,Star,7.0,81,Scotland,29.38,65.59,2292,44.71,5.05,14.0
SK Raina,All-rounder,Star,7.0,216,India,29.39,83.59,5585,53.91,5.04,33.0
BJ Hodge,Batsman,Good,5.5,23,Australia,27.16,61.51,516,51.0,4.64,1.0
Aasif Sheikh,Wicketkeeper-Batsman,Good,5.5,53,Nepal,26.85,66.56,1423,,,
RK Paudel,All-rounder,Good,6.5,62,Nepal,27.15,59.14,1629,25.67,4.05,9.0
DM Bravo,Batsman,Good,5.5,115,West Indies,26.61,59.33,3007,,,
BA King,Batsman,Good,5.5,45,West Indies,29.02,70.24,1306,,,
ME Trescothick,Batsman,Good,5.5,61,England,32.74,63.46,1997,71.0,5.68,2.0
HG Munsey,Batsman,Good,5.5,51,Scotland,33.5,82.29,1675,,,
Iftikhar Ahmed,All-rounder,Good,6.0,24,Pakistan,25.1,96.04,527,48.64,5.54,14.0
MP Vaughan,All-rounder,Good,5.5,57,England,24.68,55.82,1382,51.5,4.79,8.0
OA Shah,All-rounder,Good,5.5,56,England,30.37,70.6,1579,35.2,5.5,5.0
Shahriar Nafees,Batsman,Average,4.0,52,Bangladesh,23.38,51.92,1216,,,
R McLaren,All-rounder,Average,4.0,51,South Africa,11.83,66.48,485,25.06,4.89,77.0
KA Edwards,Batsman,Average,4.0,16,West Indies,20.69,46.38,331,,,
V Aravind,Wicketkeeper-Batsman,Good,5.5,61,United Arab Emirates,30.21,61.33,1843,,,
AR McBrine,All-rounder,Average,4.0,65,Ireland,17.26,74.65,742,38.84,4.7,62.0
MS Atapattu,Batsman,Good,5.5,65,Sri Lanka,30.91,60.9,1978,,,
HM Nicholls,Batsman,Good,5.5,78,New Zealand,27.84,72.57,2116,,,
DAS Gunaratne,All-rounder,Good,5.5,28,Sri Lanka,23.0,73.77,575,33.67,5.12,21.0
SW Billings,Batsman,Good,5.5,29,England,31.36,79.66,690,,,
EJG Morgan,Batsman,Good,5.5,218,"England, Ireland",32.34,77.08,6953,,,
Alok Kapali,All-rounder,Average,4.0,40,Bangladesh,16.57,52.84,613,39.31,5.2,16.0
TA Boult,All-rounder,Average,4.0,111,New Zealand,4.32,82.28,216,23.66,4.82,205.0
DN Wellalage,All-rounder,Average,4.0,24,Sri Lanka,15.0,65.28,285,34.31,5.22,26.0
JM Davison,All-rounder,Good,6.0,16,Canada,27.69,100.06,443,31.06,4.83,16.0
Ali Khan,All-rounder,Average,5.0,15,United States of America,2.22,68.11,20,15.27,4.38,33.0
GD McGrath,All-rounder,Average,5.0,65,Australia,1.29,39.93,18,20.28,3.71,98.0
RR Sarwan,All-rounder,Good,5.5,116,West Indies,32.89,69.74,3717,28.08,5.98,13.0
Nazmul Hossain Shanto,Batsman,Good,5.5,41,Bangladesh,31.49,63.09,1165,56.0,5.09,1.0
Wahab Riaz,All-rounder,Average,4.0,89,Pakistan,11.15,81.01,725,33.06,5.35,115.0
PWH de Silva,All-rounder,Average,4.5,55,Sri Lanka,18.67,97.91,859,27.89,5.18,76.0
Chirag Suri,Batsman,Good,5.5,36,United Arab Emirates,25.67,46.87,924,,,
KL Rahul,Wicketkeeper-Batsman,Star,7.0,74,India,39.44,82.15,2761,,,
Mohammad Ashraful,All-rounder,Average,4.0,115,"Bangladesh, Asia XI",20.36,56.65,2301,53.83,5.05,6.0
SR Mukkamalla,Batsman,Good,5.5,23,United States of America,30.91,62.17,711,,,
N Pooran,All-rounder,Good,5.5,54,West Indies,33.87,87.26,1829,30.2,5.59,5.0
SR Taylor,All-rounder,Good,6.5,45,United States of America,24.29,64.07,1093,28.32,4.45,38.0
Yasir Hameed,Batsman,Star,7.0,40,Pakistan,37.41,56.62,1459,,,
TG Southee,All-rounder,Average,4.0,153,New Zealand,7.77,92.35,715,32.19,5.39,214.0
CN Greaves,All-rounder,Average,4.0,27,Scotland,16.81,79.08,353,22.44,5.39,25.0
Abdullah Shafique,Batsman,Good,5.5,20,Pakistan,27.7,54.18,554,,,
WIA Fernando,Batsman,Good,5.5,46,Sri Lanka,30.52,68.66,1404,,,
CR Woakes,All-rounder,Average,4.0,117,England,18.02,81.36,1514,28.87,5.32,173.0
Harbhajan Singh,All-rounder,Average,5.0,148,"India, Asia XI",10.79,72.51,917,38.69,4.21,143.0
B Muzarabani,All-rounder,Average,4.0,42,Zimbabwe,3.8,40.79,114,32.68,4.76,50.0
NFI McCallum,Batsman,Average,4.0,10,Scotland,23.3,45.35,233,,,
AT Nidamanuru,Batsman,Average,4.0,29,Netherlands,24.59,68.84,713,,8.0,0.0
T Thushara,All-rounder,Average,4.0,35,Sri Lanka,15.52,87.67,357,27.13,4.84,46.0
DR Martyn,Batsman,Good,5.5,75,Australia,30.67,65.42,2239,78.0,5.2,1.0
AM Rahane,Batsman,Good,5.5,87,India,33.79,63.08,2906,,,
E Chigumbura,All-rounder,Average,4.0,159,"Zimbabwe, Africa XI",21.63,72.67,3266,40.65,5.47,80.0
Inzamam-ul-Haq,Batsman,Good,5.5,63,"Pakistan, Asia XI",30.9,72.07,1916,,,
SR Patel,All-rounder,Average,4.0,33,England,21.91,86.45,482,46.09,5.58,23.0
T Taibu,Wicketkeeper-Batsman,Good,5.5,104,"Zimbabwe, Africa XI",28.37,56.97,2837,,4.5,0.0
S Chanderpaul,Batsman,Star,7.0,108,West Indies,35.22,65.87,3804,,4.75,0.0
Anamul Haque,Batsman,Good,5.5,46,Bangladesh,30.05,63.3,1322,,,
D Heyliger,All-rounder,Average,5.5,16,Canada,15.82,109.15,174,21.3,4.36,27.0
SA Abbott,All-rounder,Average,4.0,28,Australia,18.53,91.04,352,37.93,5.58,29.0
BJ Haddin,Wicketkeeper-Batsman,Good,5.5,117,Australia,28.07,82.65,3003,,,
NJ O'Brien,Wicketkeeper-Batsman,Good,5.5,64,Ireland,26.86,68.23,1692,,,
MS Chapman,Batsman,Good,5.5,23,"Hong Kong, New Zealand",29.74,80.58,684,,,
Hasan Ali,All-rounder,Average,4.5,64,Pakistan,10.19,101.52,377,29.55,5.7,98.0
RM Haq,All-rounder,Average,4.0,20,Scotland,10.65,41.68,181,27.17,4.53,24.0
AM Blignaut,All-rounder,Average,4.0,30,Zimbabwe,14.2,72.09,284,35.97,4.62,29.0
TD Paine,Wicketkeeper-Batsman,Good,5.5,34,Australia,25.32,64.83,861,,,
MJ Santner,All-rounder,Average,4.0,105,New Zealand,17.1,93.36,1385,42.13,4.74,95.0
KIC Asalanka,All-rounder,Star,7.0,56,Sri Lanka,33.52,76.42,1810,25.4,4.76,15.0
H Masakadza,All-rounder,Good,5.5,156,Zimbabwe,25.52,58.84,3955,58.63,5.51,19.0
RA Jadeja,All-rounder,Average,4.0,196,India,21.5,85.04,2731,40.41,4.84,191.0
Shoaib Khan,Batsman,Good,5.5,31,Oman,27.19,68.3,843,64.5,5.38,2.0
K Bhurtel,All-rounder,Good,5.5,54,Nepal,22.3,67.29,1182,22.33,4.62,12.0
LV van Beek,All-rounder,Average,4.0,32,Netherlands,16.29,87.76,505,31.85,5.33,47.0
SM Curran,All-rounder,Good,5.5,34,England,22.58,91.0,587,39.06,6.0,33.0
Mohammed Shami,All-rounder,Average,4.0,98,India,4.66,78.6,219,23.03,5.37,189.0
AK Sah,Batsman,Average,4.0,13,Nepal,24.62,74.5,320,,,
Shadab Khan,All-rounder,Average,4.0,65,Pakistan,18.31,94.82,714,36.6,5.24,75.0
V Sukumaran,Batsman,Average,5.0,10,United Arab Emirates,19.4,43.11,194,25.67,3.85,3.0
Pargat Singh,Batsman,Star,8.0,17,Canada,42.47,72.33,722,20.5,4.32,4.0
PSP Handscomb,Batsman,Good,5.5,21,Australia,31.6,80.73,632,,,
STR Binny,All-rounder,Average,4.0,14,India,20.91,90.04,230,21.3,5.26,20.0
Imran Tahir,All-rounder,Average,4.0,103,South Africa,4.91,55.56,157,26.1,4.61,161.0
NT Broom,Batsman,Average,4.0,37,New Zealand,24.84,56.88,919,,,
Vikramjit Singh,All-rounder,Good,5.5,40,Netherlands,29.75,64.63,1190,35.14,6.0,7.0
HC Brook,Batsman,Good,5.5,19,England,34.37,89.66,653,,,
BC Lara,Batsman,Good,5.5,68,"West Indies, ICC World XI",28.03,72.36,1878,,,
Mohammad Rafique,All-rounder,Average,5.0,58,"Bangladesh, Asia XI",10.7,56.9,492,45.28,4.34,46.0
MN Waller,All-rounder,Average,4.0,55,Zimbabwe,20.37,67.51,1039,59.38,5.0,8.0
