venue_id,venue_avg_runs,venue_runs_std,venue_matches,venue_high_score,venue_low_score,venue_difficulty
268,45.38,17.68,8,81,26,0.34
269,157.5,14.85,2,168,147,1.17
270,144.96,30.54,26,213,88,1.08
271,160.95,30.5,38,228,108,1.2
272,129.5,20.11,8,146,97,0.96
273,77.67,31.51,12,123,32,0.58
274,106.42,32.5,26,182,42,0.79
275,167.2,28.95,10,224,124,1.25
276,150.0,118.79,2,234,66,1.12
277,106.81,14.91,16,137,77,0.8
278,206.0,2.83,2,208,204,1.53
279,76.0,2.83,2,78,74,0.57
280,170.29,24.54,14,226,143,1.27
281,145.59,53.66,32,246,33,1.08
282,156.02,36.36,88,238,40,1.16
283,122.2,62.25,10,230,30,0.91
284,161.67,37.09,114,236,9,1.2
285,179.5,1.29,4,181,178,1.34
287,157.06,42.22,50,260,60,1.17
288,154.16,40.01,50,207,3,1.15
289,133.12,24.43,8,184,111,0.99
290,142.9,39.28,50,193,5,1.06
291,142.22,23.36,68,213,77,1.06
292,95.12,49.65,8,141,26,0.71
293,89.0,56.51,10,181,31,0.66
294,86.75,16.48,4,102,72,0.65
295,108.91,41.37,11,162,18,0.81
296,142.17,47.71,12,226,84,1.06
297,159.67,43.01,6,213,118,1.19
298,168.5,0.71,2,169,168,1.25
299,161.5,34.57,14,215,109,1.2
300,98.88,46.71,16,198,35,0.74
301,148.79,37.47,103,231,4,1.11
302,164.2,35.2,74,304,75,1.22
303,107.88,41.58,8,204,72,0.8
304,109.74,37.12,34,179,12,0.82
305,142.98,57.44,60,263,2,1.06
306,151.5,0.71,2,152,151,1.13
307,135.31,27.1,16,180,104,1.01
308,146.86,42.29,14,220,91,1.09
309,127.05,39.12,20,184,63,0.95
310,51.5,84.21,8,255,6,0.38
311,152.71,33.06,14,230,104,1.14
312,113.06,45.42,34,194,14,0.84
313,113.27,52.31,26,173,15,0.84
314,133.5,0.71,2,134,133,0.99
315,146.71,31.55,14,193,84,1.09
316,209.5,2.12,2,211,208,1.56
317,208.5,3.54,2,211,206,1.55
318,155.57,15.28,14,183,124,1.16
319,126.42,19.94,12,159,79,0.94
320,152.75,52.13,8,212,68,1.14
321,158.0,16.25,4,168,134,1.18
322,139.45,39.32,42,236,57,1.04
323,132.69,29.85,65,205,73,0.99
324,127.08,27.19,24,178,81,0.95
325,161.75,29.21,20,215,98,1.2
326,162.0,8.49,2,168,156,1.21
327,177.64,27.12,14,229,142,1.32
328,208.0,1.41,2,209,207,1.55
329,208.5,59.95,4,297,164,1.55
330,126.4,35.05,48,201,40,0.94
331,172.42,47.64,86,263,2,1.28
332,65.5,33.58,10,109,12,0.49
333,147.81,31.23,101,223,47,1.1
334,157.05,33.92,77,231,49,1.17
335,123.15,30.04,40,175,74,0.92
336,145.85,36.26,20,256,110,1.09
337,97.0,19.57,8,126,73,0.72
338,90.5,47.09,12,177,30,0.67
339,91.67,42.75,12,176,28,0.68
340,140.42,88.06,12,344,54,1.05
341,133.0,47.3,6,194,85,0.99
342,172.75,23.66,16,215,125,1.29
343,91.12,49.51,92,253,4,0.68
344,90.5,0.71,2,91,90,0.67
345,137.56,30.87,18,208,84,1.02
346,115.25,15.59,4,132,101,0.86
347,186.5,7.78,2,192,181,1.39
348,177.0,24.93,6,202,153,1.32
349,156.17,46.52,6,228,87,1.16
350,165.0,1.41,2,166,164,1.23
351,142.5,31.23,8,187,104,1.06
352,169.83,35.41,6,218,134,1.26
353,123.85,48.58,68,224,6,0.92
354,183.5,0.71,2,184,183,1.37
355,153.36,46.95,36,212,17,1.14
356,183.5,14.85,2,194,173,1.37
357,98.88,64.46,8,198,50,0.74
358,124.0,57.98,2,165,83,0.92
359,90.37,43.82,41,169,22,0.67
360,121.72,42.23,18,224,15,0.91
361,142.33,35.86,86,271,21,1.06
362,164.0,14.14,2,174,154,1.22
363,137.11,38.81,220,241,3,1.02
364,163.25,18.45,8,187,125,1.22
365,88.5,26.19,4,125,69,0.66
366,133.38,25.59,112,216,66,0.99
367,122.0,22.21,12,151,88,0.91
368,131.3,29.62,10,177,91,0.98
369,145.38,38.29,58,247,73,1.08
370,135.89,31.14,74,204,80,1.01
371,127.89,32.56,64,211,60,0.95
372,129.5,3.54,2,132,127,0.96
373,130.97,29.54,32,182,71,0.98
374,128.03,33.1,38,244,84,0.95
375,127.75,56.41,4,176,61,0.95
376,113.86,44.68,71,213,12,0.85
377,94.75,39.18,4,133,59,0.71
378,114.45,41.04,29,200,7,0.85
379,120.43,20.24,14,158,71,0.9
380,110.5,39.62,52,196,15,0.82
381,85.25,23.11,4,106,61,0.63
382,99.75,44.93,4,166,66,0.74
383,127.25,21.93,4,143,96,0.95
384,173.67,38.6,6,216,128,1.29
385,71.33,44.58,6,106,13,0.53
386,142.46,38.4,97,216,30,1.06
387,152.24,40.65,78,243,9,1.13
388,102.75,49.86,12,160,1,0.77
389,105.67,2.25,6,108,102,0.79
390,89.17,49.38,6,178,29,0.66
391,112.37,50.54,30,213,18,0.84
392,139.5,51.62,2,176,103,1.04
393,133.4,29.04,10,172,98,0.99
394,96.32,43.21,28,207,25,0.72
395,113.65,36.58,40,217,65,0.85
396,111.73,30.51,11,150,66,0.83
397,125.5,23.42,14,153,90,0.93
398,145.72,19.31,18,168,87,1.09
399,129.41,29.49,22,172,71,0.96
400,90.23,36.12,48,224,29,0.67
401,85.56,29.55,18,149,41,0.64
402,124.5,52.15,6,179,58,0.93
403,135.68,31.51,22,180,54,1.01
404,137.29,30.99,100,211,6,1.02
405,83.33,33.19,6,125,52,0.62
406,164.29,32.59,78,250,52,1.22
407,163.82,27.72,74,236,112,1.22
408,138.7,29.53,10,195,101,1.03
409,170.2,20.86,5,181,133,1.27
410,120.5,35.23,22,177,56,0.9
412,157.5,0.71,2,158,157,1.17
413,123.75,29.05,16,170,68,0.92
414,160.65,37.65,23,241,100,1.2
415,150.12,45.83,78,259,7,1.12
416,110.17,48.73,6,178,62,0.82
417,122.68,34.95,22,198,33,0.91
418,142.83,46.63,46,221,5,1.06
419,143.25,36.11,4,188,112,1.07
420,127.43,18.25,7,150,97,0.95
421,115.55,43.13,53,210,33,0.86
422,96.83,44.66,18,181,16,0.72
423,123.36,29.46,58,193,72,0.92
424,136.57,43.11,28,219,72,1.02
425,125.33,27.6,18,201,92,0.93
426,99.5,82.73,2,158,41,0.74
427,111.1,37.38,10,165,56,0.83
428,93.61,50.57,46,271,3,0.7
429,88.83,33.39,6,143,51,0.66
430,117.83,21.35,6,154,101,0.88
431,80.45,40.24,64,239,10,0.6
432,109.76,42.84,93,221,15,0.82
433,68.5,51.62,2,105,32,0.51
434,170.61,31.27,80,250,71,1.27
435,171.33,41.15,78,265,46,1.28
436,173.42,24.85,12,210,135,1.29
437,149.91,28.64,103,248,69,1.12
438,156.26,37.87,81,248,54,1.16
439,139.32,44.06,34,252,58,1.04
440,145.94,42.37,16,225,101,1.09
441,93.5,13.23,4,103,74,0.7
442,163.4,37.86,10,203,89,1.22
443,165.75,47.68,24,283,95,1.23
444,140.0,25.75,6,183,113,1.04
445,113.3,37.93,44,183,25,0.84
446,107.94,74.45,18,198,0,0.8
447,118.72,32.28,18,183,71,0.88
448,109.6,34.93,40,172,51,0.82
449,101.5,11.68,4,116,89,0.76
450,158.23,30.99,124,227,52,1.18
451,163.58,43.59,77,261,57,1.22
452,125.0,51.53,8,236,79,0.93
453,141.66,45.43,89,247,10,1.05
454,51.5,0.71,2,52,51,0.38
455,65.64,52.74,11,161,26,0.49
456,96.44,47.55,77,223,26,0.72
457,111.08,47.97,133,246,9,0.83
458,112.11,56.14,18,240,50,0.83
459,117.1,35.35,50,217,50,0.87
460,217.0,2.83,2,219,215,1.62
461,142.53,29.08,15,224,101,1.06
462,62.07,35.94,14,133,18,0.46
463,143.0,40.01,24,200,37,1.06
464,107.62,35.62,16,185,55,0.8
465,165.92,28.84,12,207,100,1.24
466,105.7,42.29,40,221,5,0.79
467,105.38,32.14,13,148,34,0.78
468,86.15,32.7,20,167,46,0.64
469,77.0,26.68,16,152,49,0.57
470,160.17,53.19,30,244,55,1.19
471,162.5,32.78,18,216,80,1.21
472,132.8,34.16,20,215,78,0.99
473,91.0,1.41,2,92,90,0.68
474,117.4,21.09,10,142,78,0.87
475,134.5,0.71,2,135,134,1.0
476,104.93,34.45,28,188,58,0.78
477,130.51,42.19,61,245,33,0.97
478,181.21,34.95,14,240,135,1.35
479,144.0,52.59,10,247,80,1.07
480,100.8,42.84,5,143,31,0.75
481,161.56,39.79,16,215,95,1.2
482,101.38,58.15,8,182,16,0.75
483,82.0,20.14,8,119,64,0.61
484,129.56,41.46,102,206,3,0.96
485,146.5,26.36,4,186,132,1.09
486,134.39,45.85,38,219,13,1.0
487,120.75,38.38,24,196,66,0.9
488,149.5,27.16,4,174,125,1.11
489,142.09,33.09,55,204,48,1.06
490,135.0,20.93,4,165,117,1.01
491,152.0,44.31,3,193,105,1.13
492,85.46,35.09,24,133,27,0.64
493,117.22,35.24,23,186,51,0.87
494,96.72,53.84,46,227,10,0.72
495,78.37,34.11,49,172,20,0.58
496,99.94,37.21,36,178,29,0.74
497,129.5,2.12,2,131,128,0.96
498,134.59,44.7,32,196,39,1.0
499,132.55,34.92,20,207,81,0.99
500,142.25,29.66,4,163,99,1.06
501,142.2,37.96,124,228,54,1.06
502,88.15,56.53,40,314,1,0.66
